timestamp_start,timestamp_end,latency_ms,request_id,project_id,book_id,row_id,phase,user_action,type,model,status,tokens_input,tokens_output,image_size,image_quality,retry_count,approval_outcome,pricing_version,cost_estimated,error
2026-02-04T15:49:31.595033+00:00,2026-02-04T15:50:07.187153+00:00,35592,e14e6ace-5ffa-4c3a-939b-31ab0049af93,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,error,,,,,0,na,2026-02,0.0,'input_token'
2026-02-04T15:54:11.362462+00:00,2026-02-04T15:54:38.863368+00:00,27500,bd738143-0b00-49f8-87bf-86a090adb7e6,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1468,1808,,,0,na,2026-02,0.00348,
2026-02-04T15:54:38.903234+00:00,2026-02-04T15:54:46.030017+00:00,7126,62e347d6-18ee-45b6-8057-577d746ffc98,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1504,407,,,0,na,2026-02,0.0012528,
2026-02-04T21:14:11.530181+00:00,2026-02-04T21:14:27.171039+00:00,15640,550d0a8f-c777-4311-adfd-fe9d6adcebec,Europa para colorear 50 imagenes,Europa para colorear 50 imagenes,003,image_generation,single,generate_image,gpt-image-1,success,,,1024x1536,low,0,na,2026-02,0.0,
2026-02-04T21:34:30.366465+00:00,2026-02-04T21:34:30.366465+00:00,0,60fbdf11-c8f2-479c-b83f-4ef065a8e0a4,Peru para colorear,Peru para colorear,.png,image_generation,single,generate_image,gpt-image-1-mini,error,,,1024x1536,,0,na,2026-02,0.0,Image quality parameter is only supported by gpt-image-1. Current model: gpt-image-1-mini
2026-02-04T21:34:41.706476+00:00,2026-02-04T21:34:59.766028+00:00,18059,8447fbd1-4ed6-43fc-8548-ddee596150e2,Peru para colorear,Peru para colorear,.png,image_generation,single,generate_image,gpt-image-1,success,,,1024x1536,low,0,na,2026-02,0.0,
2026-02-04T21:51:08.277035+00:00,2026-02-04T21:51:08.277035+00:00,0,65783a7e-f581-4e3e-b43c-d49d78d1ea46,Europa para colorear 50 imagenes,Europa para colorear 50 imagenes,004,image_generation,single,generate_image,gpt-image-1.5,error,,,1024x1536,,0,na,2026-02,0.0,Image quality parameter is only supported by gpt-image-1. Current model: gpt-image-1.5
2026-02-04T21:51:23.474728+00:00,2026-02-04T21:51:23.474728+00:00,0,4a175bce-ac4e-4688-84c7-bee6a54dd961,Europa para colorear 50 imagenes,Europa para colorear 50 imagenes,004,image_generation,single,generate_image,gpt-image-1.5,error,,,1024x1536,,0,na,2026-02,0.0,Image quality parameter is only supported by gpt-image-1. Current model: gpt-image-1.5
2026-02-04T21:51:31.446637+00:00,2026-02-04T21:51:31.446637+00:00,0,07be23a4-90e2-4115-83a3-2121b97fb600,Europa para colorear 50 imagenes,Europa para colorear 50 imagenes,004,image_generation,single,generate_image,gpt-image-1.5,error,,,1024x1536,,0,na,2026-02,0.0,Image quality parameter is only supported by gpt-image-1. Current model: gpt-image-1.5
2026-02-05T18:17:20.491385+00:00,2026-02-05T20:44:37.311815+00:00,8836820,c0813f50-5757-4f48-927c-79e3f9e75d81,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1468,1566,,,0,na,2026-02,0.0030927999999999997,
